街灯ID,lng,lat
7783,136.18294367592165,35.90264172831273
7784,136.18329494578185,35.90266273220188
7138,136.1750927262451,35.90267844725022
7095,136.17530680552514,35.90274231415836
6949,136.1755312841584,35.90280147175187
7739,136.17874421433032,35.902866560911164
8330,136.16924459595845,35.9030252380061
8325,136.16944627906824,35.903028291202396
7109,136.18255209045608,35.90303233969274
8317,136.16902891325896,35.90303852281776
8331,136.1696077651283,35.90303977279504
8332,136.1697823499513,35.90305449426996
8333,136.16997673333955,35.90306466657727
8337,136.1693101825969,35.90319712076704
8336,136.1694959670179,35.903200373664255
8338,136.16911019876488,35.90320668625072
8335,136.16964795360855,35.903217464491014
8334,136.1698550355734,35.90323564616346
90,136.17616880983982,35.903265623241786
89,136.17633579368814,35.903315220853564
7749,136.17857830684312,35.90332838861582
7781,136.1826279695462,35.90334958708517
91,136.17648116956323,35.90357694539867
7126,136.1852085445282,35.903582037297866
7125,136.1854893168849,35.90367597215488
7748,136.17897725715736,35.90368787713329
7758,136.18217209000954,35.903727398711204
7687,136.18151804133507,35.90379239033518
7108,136.1821867831372,35.903850145838746
7741,136.1821505752388,35.90408697987437
7740,136.1818502999271,35.90409239405026
80,136.17508775682296,35.904195054946086
7746,136.17990535600913,35.90421061743206
577,136.20027046251042,35.90425828805698
7745,136.1805526987772,35.90428599067742
7747,136.17917941042896,35.904338081118134
7742,136.18167679371788,35.904540173124836
7782,136.1825724176568,35.9045766648658
7744,136.1805424826293,35.9046551010187
7664,136.18209095260266,35.90468610475014
7107,136.182409623358,35.90474646386042
7743,136.1813227059213,35.904913776978965
7393,136.17483004454866,35.90492642221704
79,136.1746972548618,35.90494194823689
575,136.20004044984043,35.9049482902362
576,136.20031042695845,35.904958293881975
573,136.20021043066123,35.90505823144592
7392,136.17482973184497,35.90520287264227
574,136.20004053463913,35.90527826494338
7106,136.18165325915524,35.90533321788917
7394,136.17563755068718,35.90550841407179
7757,136.18124898421848,35.90551806105663
6731,136.1754830599917,35.90558498318337
6732,136.1756115487236,35.905597954040346
6747,136.1757251383931,35.905617433940876
6748,136.17577673363434,35.905627723741496
7395,136.17638358268354,35.90563972305807
6752,136.1758710250378,35.90564435360978
6751,136.17593421902615,35.90566093294027
6750,136.17600501238798,35.905677412414185
6721,136.17494710015862,35.90567932373086
6723,136.17499869539526,35.90568971352079
6756,136.17607530584107,35.905692811994875
6724,136.1750500904998,35.905703332961785
6725,136.17511328493202,35.90571027332328
6749,136.1761586979499,35.90571378120863
6726,136.17516877984156,35.90572073317383
6746,136.17622959144433,35.905727201011565
6727,136.17520867605347,35.90573104276799
6728,136.1752563719128,35.905734943183916
6722,136.17529616798802,35.90574840243944
6730,136.17543635633433,35.90574864486222
6720,136.17490359871326,35.90578917122165
6733,136.17570523049505,35.905824861406565
7756,136.1806707180911,35.90582539808291
6745,136.1762745825479,35.90583925981156
6754,136.17589921251786,35.90586541045776
6755,136.17603979978082,35.905888460448
6757,136.17564403033956,35.90593861817007
6719,136.17485629411772,35.90597429059488
6753,136.1760650937017,35.90597486164829
7397,136.17583821176933,35.905991685885745
6739,136.17611448732467,35.90602426722661
7396,136.17630117033485,35.90605653703586
6740,136.17618227800116,35.906104479831136
6729,136.17553013140727,35.906120856688204
6744,136.17617957614584,35.906149644953054
6718,136.17523065485557,35.906151758151914
7102,136.1772584853054,35.90617653092296
6716,136.1748523844357,35.90619160728226
6743,136.17615357595014,35.906200789028496
6717,136.1751017615214,35.90623946651915
78,136.17408854461644,35.906262306378004
6742,136.1760995759241,35.90629874760756
6738,136.1761820668499,35.90634703388372
6737,136.17620656318604,35.906382420526626
6734,136.1759269843769,35.90642646093254
6741,136.176152965571,35.90642729479064
6736,136.17619236214807,35.90643057512792
6735,136.17616256238807,35.906479109416146
7299,136.174720181917,35.90648474361898
7298,136.17450428411115,35.906826483295134
7101,136.17512932680665,35.90694365168055
76,136.17375969719762,35.90788520704743
7213,136.1814763522739,35.90797343240006
7214,136.18156934383137,35.907989062352584
544,136.17927032926548,35.90810843942633
7340,136.19023931653297,35.9081468369181
7044,136.18151583574124,35.90826126230327
19783,136.20079303085308,35.90834670988465
7339,136.18982394139513,35.9083560672832
19782,136.20147617280185,35.90837530875835
7040,136.18161791720598,35.908479680724184
7338,136.18979143788718,35.90849087229662
7705,136.1823121585484,35.908501430524346
7337,136.19013070397574,35.908615434899396
555,136.18658039684536,35.90865843828538
77,136.1736418693684,35.90870208761523
543,136.18308028522304,35.90870846179726
7039,136.18158660854388,35.90872426401652
568,136.1909103317234,35.90877842108429
554,136.18205026431798,35.90884847882925
7215,136.1816423940538,35.90893833209408
7058,136.18165449051415,35.90899338641673
7219,136.1815657975831,35.908999834177855
557,136.18814035025594,35.909028425959455
556,136.18692034789362,35.90910839609563
545,136.1799903229614,35.90911848396768
7212,136.18158548650294,35.909204952582165
553,136.18301036800645,35.90920845709618
570,136.19002038261172,35.90927837206419
569,136.19040044828247,35.909338422279916
546,136.18084034177687,35.909348494213184
547,136.18028028506706,35.909418466946164
7041,136.18170426545754,35.90944776868516
558,136.18791034771746,35.90949838167517
7706,136.18559913837444,35.90952632831535
7694,136.18779774607057,35.90973723416051
559,136.18793033500612,35.90973838635324
7217,136.18163505744565,35.90974658551464
